"p.theta","Time","beta","kappa","Mean.bias","Rate","Mean.rmse","Mean.ase","m.rate","true.rate","true.mean","CP","Scenario"
0.5,3,0.5,1.01,-1.55628670493794,0.284666019971114,0.569054043866073,0.559546475871116,0.288998,0.372733049065991,6.16043369783606,0.28,"censored"
0.5,3,0.5,1.30302375195705,-1.42350152133174,0.298275744664792,0.550360964643912,0.562974218455728,0.301886,0.372733049065991,6.16043369783606,0.34,"censored"
0.5,3,0.5,1.68106029521211,-1.36446756037166,0.305928758980614,0.546261339115426,0.561853053066492,0.308584,0.372733049065991,6.16043369783606,0.358,"censored"
0.5,3,0.5,2.16877375557753,-1.18086898195114,0.316141396464296,0.560587760443083,0.583321813205432,0.318592,0.372733049065991,6.16043369783606,0.474,"censored"
0.5,3,0.5,2.79798387736497,-1.17483302017579,0.320970927709438,0.562142068227064,0.576626064583062,0.322936,0.372733049065991,6.16043369783606,0.488,"censored"
0.5,3,0.5,3.60974202950439,-1.00212257664678,0.328651681105402,0.598400104151501,0.600279427954679,0.330286,0.372733049065991,6.16043369783606,0.586,"censored"
0.5,3,0.5,4.65700950780384,-1.03784461227701,0.329375839643328,0.56497718222499,0.590566696440044,0.3308,0.372733049065991,6.16043369783606,0.558,"censored"
0.5,3,0.5,6.00811287302793,-0.960013853937397,0.333264151526378,0.59333853072091,0.601207374496121,0.334408,0.372733049065991,6.16043369783606,0.596,"censored"
0.5,3,0.5,7.7512017603904,-0.852494754768188,0.337465899510596,0.605879532623253,0.616703494927211,0.338672,0.372733049065991,6.16043369783606,0.682,"censored"
0.5,3,0.5,10,-0.826973966688432,0.339840400317529,0.592965374286182,0.617265714462095,0.340668,0.372733049065991,6.16043369783606,0.71,"censored"
0.5,3,0.5,10.1,-0.82358640523013,0.33995877111667,0.5944237949501,0.617785435073744,0.340812,0.372733049065991,6.16043369783606,0.71,"censored"
0.5,3,0.5,11.3952934094239,-0.770076306671818,0.341315182804292,0.616389449670359,0.627466898157985,0.34223,0.372733049065991,6.16043369783606,0.718,"censored"
0.5,3,0.5,12.8567041472137,-0.760935076567855,0.341992086683751,0.607925985329025,0.627691900238756,0.34274,0.372733049065991,6.16043369783606,0.708,"censored"
0.5,3,0.5,14.5055362411542,-0.748119568520824,0.342454369328325,0.613961593286895,0.629791045351824,0.343242,0.372733049065991,6.16043369783606,0.73,"censored"
0.5,3,0.5,16.3658258939587,-0.752345492454629,0.342524118516264,0.619515161364523,0.62922987316704,0.343348,0.372733049065991,6.16043369783606,0.702,"censored"
0.5,3,0.5,18.464691876159,-0.733597260316127,0.343390176342808,0.614070213550486,0.631194201160694,0.34414,0.372733049065991,6.16043369783606,0.728,"censored"
0.5,3,0.5,20.8327308557858,-0.713630874116248,0.344172655248245,0.614918628133735,0.634006484765635,0.344914,0.372733049065991,6.16043369783606,0.738,"censored"
0.5,3,0.5,23.5044634278453,-0.704029563725793,0.344674163923243,0.610978515710387,0.635198631217214,0.345472,0.372733049065991,6.16043369783606,0.76,"censored"
0.5,3,0.5,26.5188373456802,-0.688078753418935,0.345285682547966,0.611387165198653,0.637484788545331,0.346084,0.372733049065991,6.16043369783606,0.756,"censored"
0.5,3,0.5,29.9197952901794,-0.674656203651068,0.345814226540593,0.613251048592635,0.639435840850134,0.346598,0.372733049065991,6.16043369783606,0.774,"censored"
0.5,3,0.5,33.7569154536131,-0.658229051911281,0.346363827156238,0.618546669930153,0.642056383299374,0.347182,0.372733049065991,6.16043369783606,0.778,"censored"
0.5,3,0.5,38.0861342763402,-0.677167775294753,0.34622486987821,0.648214136407099,0.639307540160284,0.346874,0.372733049065991,6.16043369783606,0.752,"censored"
0.5,3,0.5,42.9705618722388,-0.667888302515063,0.34658251442786,0.649181088298568,0.640626391342285,0.347226,0.372733049065991,6.16043369783606,0.758,"censored"
0.5,3,0.5,48.4814020298973,-0.649384321509188,0.34701273734195,0.625646212703283,0.642809475683415,0.347654,0.372733049065991,6.16043369783606,0.782,"censored"
