"p.scale","p.theta","kappa","scale","r.scale","sd.scale","shape","r.shape","sd.shape","Mean.bias","Rate","m.rate","true.rate","CP","Scenario"
0.5,0.5,1.01,0.329061897454218,0.0238679411886527,0.0259229459439989,0.449223622902504,0.01235613388579,0.01357780591122,-0.177781273344192,0.192271813621206,0.19699,0.243116734434214,0.602,"censored"
0.5,0.5,1.30302375195705,0.347661592693937,0.0243668748271406,0.0269472586510579,0.457815629245501,0.0135785260652611,0.0139035887055744,-0.166285025824979,0.197249811563504,0.201506,0.243116734434214,0.63,"censored"
0.5,0.5,1.68106029521211,0.382490451590868,0.0277158134301019,0.0292564584073099,0.466815293696048,0.0137867745947808,0.0143315387927293,-0.120002038238502,0.208541344686007,0.211902,0.243116734434214,0.79,"censored"
0.5,0.5,2.16877375557753,0.401421987661898,0.0284438605589088,0.0300068966036078,0.478271941184002,0.0146927386102077,0.0147387759948438,-0.121901183599478,0.212566678885929,0.214808,0.243116734434214,0.788,"censored"
0.5,0.5,2.79798387736497,0.426247003234779,0.0322303760135385,0.0315771870998129,0.484891259391883,0.0145126864510806,0.0150525020173554,-0.0924693536701234,0.220119355695389,0.221968,0.243116734434214,0.866,"censored"
0.5,0.5,3.60974202950439,0.43653230980387,0.0303577780772671,0.0322048680535262,0.487723236292525,0.0155062475408366,0.0151841556619761,-0.0806815819946113,0.223247811463452,0.22469,0.243116734434214,0.886,"censored"
0.5,0.5,4.65700950780384,0.461634027465321,0.0330059080137344,0.0339597238850164,0.491573084038116,0.0149310959708553,0.0154245027123109,-0.0428273113925381,0.231397250059577,0.23244,0.243116734434214,0.952,"censored"
0.5,0.5,6.00811287302793,0.463788290883064,0.0351185114076913,0.0339704993974966,0.493708540049873,0.0151501737075114,0.0154956880124917,-0.046193874210484,0.231579527812254,0.232232,0.243116734434214,0.954,"censored"
0.5,0.5,7.7512017603904,0.475555784446111,0.0340836802618017,0.0348058315530235,0.495357780343194,0.015571820236923,0.015604219483933,-0.0280439593271692,0.235399949243112,0.236234,0.243116734434214,0.954,"censored"
0.5,0.5,10,0.484932993182166,0.034207388775206,0.035432293151169,0.49705006696097,0.0161530078973151,0.0157002718502325,-0.0147352971630327,0.238282398702091,0.238552,0.243116734434214,0.974,"censored"
0.5,0.5,10.1,0.478616448362345,0.0359031596609853,0.0348927541187463,0.497446952280801,0.0154249417184938,0.0156760130112653,-0.0297238468282175,0.235935294106319,0.236676,0.243116734434214,0.96,"censored"
0.5,0.5,11.3952934094239,0.483457361799554,0.0351569860931624,0.0352339067850362,0.498083970076612,0.015028166337289,0.0157196520417465,-0.0220376498418202,0.237470246310113,0.237788,0.243116734434214,0.972,"censored"
0.5,0.5,12.8567041472137,0.483556090375335,0.0354380697825568,0.0352477494768314,0.498119332063393,0.0157379153968067,0.0157180108916162,-0.0215159186356352,0.237485182984957,0.237928,0.243116734434214,0.952,"censored"
0.5,0.5,14.5055362411542,0.491736790832195,0.0368942530155867,0.0359425026906948,0.497655692570496,0.016110946757623,0.0157499802266167,-0.00353295510517115,0.240473534820013,0.240958,0.243116734434214,0.976,"censored"
0.5,0.5,16.3658258939587,0.483247689971482,0.034935473378143,0.0353158636337759,0.496770081734244,0.0143926538592511,0.015681624052822,-0.0178350912213189,0.23771846886841,0.23804,0.243116734434214,0.974,"censored"
0.5,0.5,18.464691876159,0.484613140503538,0.0341890003717482,0.0352266236210705,0.499413731240831,0.0161940908235581,0.0157620186240996,-0.024230710775761,0.237588888324718,0.238074,0.243116734434214,0.962,"censored"
0.5,0.5,20.8327308557858,0.485808488537963,0.0355231148259318,0.035329896819032,0.499377459835073,0.0155324909418121,0.0157668309787652,-0.0217321488359402,0.237972155441256,0.23837,0.243116734434214,0.972,"censored"
0.5,0.5,23.5044634278453,0.48710833924168,0.0348121918029889,0.0355396757530799,0.498025403602576,0.0162818795802455,0.0157354826956958,-0.0137144105661547,0.238776656900265,0.239036,0.243116734434214,0.964,"censored"
0.5,0.5,26.5188373456802,0.49285518571994,0.0372598188380105,0.0358309365622198,0.500290247555167,0.0159898825028998,0.0158283807603396,-0.0107897765306809,0.240189143069316,0.240484,0.243116734434214,0.966,"censored"
0.5,0.5,29.9197952901794,0.497053543731105,0.0353802443419216,0.0362320375072223,0.499607654446125,0.0170659939139077,0.0158325197723726,0.00080826681636359,0.241849395915281,0.242242,0.243116734434214,0.972,"censored"
0.5,0.5,33.7569154536131,0.494243927164743,0.0369028830740837,0.0360607850074043,0.498885971132046,0.0156070244353543,0.0157956662128457,-0.00274468982907972,0.24100109298249,0.241444,0.243116734434214,0.98,"censored"
0.5,0.5,38.0861342763402,0.50039658108282,0.0374485491725208,0.0364100806508869,0.500653012540955,0.0157430159969699,0.0158800936786713,0.00256576097041639,0.242739996949849,0.243072,0.243116734434214,0.982,"censored"
0.5,0.5,42.9705618722388,0.494190705926671,0.0351494287724089,0.0360615346065484,0.498766250988227,0.0164197892267388,0.015797025787748,-0.00227116308123287,0.241071963714044,0.24154,0.243116734434214,0.974,"censored"
0.5,0.5,48.4814020298973,0.501539824044803,0.0359031311963957,0.0365360179939931,0.500342562907923,0.0156721220940466,0.0158754035434894,0.00634219890507159,0.243205527500082,0.24363,0.243116734434214,0.982,"censored"
0.5,0.5,54.6989902010809,0.501533299729543,0.035762934489155,0.0366156999123773,0.499190918618906,0.0155537206389133,0.0158445082690728,0.0103668955546548,0.243496681657473,0.243708,0.243116734434214,0.984,"censored"
0.5,0.5,61.713964607972,0.497652046809405,0.0370213899321983,0.0362186260748231,0.500177692500399,0.0154789747914552,0.0158540878089449,-0.00132663911832631,0.241906384943131,0.24208,0.243116734434214,0.98,"censored"
0.5,0.5,69.6285875412516,0.498286061222293,0.0363505007660752,0.0364099753448107,0.498405805551465,0.0154276463286028,0.0158054163436225,0.00664101374421788,0.242563099663715,0.242758,0.243116734434214,0.978,"censored"
0.5,0.5,78.5582361105263,0.499424475479054,0.034796767353503,0.0363304121567001,0.500659103847111,0.015764231062639,0.0158727388271907,0.00103915082140982,0.242419205513034,0.242534,0.243116734434214,0.982,"censored"
0.5,0.5,88.633084178836,0.496470735587913,0.035857214100797,0.036026414133543,0.501316803475256,0.0151480769553328,0.0158792478617717,-0.00833286991811533,0.241268063791063,0.241548,0.243116734434214,0.982,"censored"
0.5,0.5,100,0.500013754972048,0.0379366321155564,0.0364321601113412,0.499929166009781,0.0157486701740015,0.0158559665317838,0.00488662722801148,0.242739762286855,0.242558,0.243116734434214,0.986,"censored"
0.5,0.5,1.01,0.252291061192325,0.0545064515578574,0.0530091873749899,0.468519908193161,0.0196925875875377,0.0202160610264701,-0.42283329804381,0.150951104584771,0.19699,0.243116734434214,0.358,"truncated"
0.5,0.5,1.30302375195705,0.26758083635171,0.0608327774675209,0.0585988521459083,0.475873868318588,0.0198856857594891,0.020802096402635,-0.411407723382531,0.158305309748254,0.201506,0.243116734434214,0.402,"truncated"
0.5,0.5,1.68106029521211,0.311794250953608,0.0747184423002231,0.0731772345564161,0.48197065051063,0.0219785362744591,0.0216559674665983,-0.337040722432968,0.175332192067145,0.211902,0.243116734434214,0.566,"truncated"
0.5,0.5,2.16877375557753,0.345944833806788,0.0844608300878482,0.0861775613665185,0.48860662188381,0.0218606443383756,0.0223654298716954,-0.278765708639238,0.189891478484909,0.214808,0.243116734434214,0.652,"truncated"
