"Mean.bias","true.mean","Mean.rmse","Mean.ase","Rate","m.rate","true.rate","Time","rho","beta1","CP","Scenario"
-0.0729985661334402,2.78709546056585,0.106108223065653,0.150658257891738,0.331098272762553,0.332022,0.340823886762424,3,-0.9,0.5,0.96,"censored"
-0.174567323789172,2.78709546056585,0.346326149625307,0.492761863563967,0.317171389142207,0.332022,0.340823886762424,3,-0.9,0.5,0.948,"truncated"
-0.050750201104615,2.78709546056585,0.0973746817347011,0.135523102846912,0.160854540679657,0.16416,0.166296601819526,5,-0.9,0.5,0.97,"censored"
-0.15014646793384,2.78709546056585,0.18330322440388,0.267921194821045,0.150148462700095,0.16416,0.166296601819526,5,-0.9,0.5,0.956,"truncated"
-0.0208407245241404,2.78709546056585,0.0913840808847476,0.126998983493181,0.0269170309952079,0.031012,0.0276545597767221,10,-0.9,0.5,0.988,"censored"
-0.080238527512742,2.78709546056585,0.109343220011718,0.156342643355593,0.0248643162237311,0.031012,0.0276545597767221,10,-0.9,0.5,0.964,"truncated"
-0.242577006892278,2.94762570344727,0.106377895355979,0.153206678795135,0.329876368398333,0.333206,0.361400578689536,3,-0.9,0.9,0.68,"censored"
-0.571258610821435,2.94762570344727,0.290706008482465,0.415096902861968,0.28296523973602,0.333206,0.361400578689536,3,-0.9,0.9,0.662,"truncated"
-0.163473787983787,2.94762570344727,0.0967829513124544,0.1414653268471,0.165981487959485,0.17665,0.183364280800658,5,-0.9,0.9,0.854,"censored"
-0.484166234110141,2.94762570344727,0.174570806699398,0.242989754678311,0.131379390661375,0.17665,0.183364280800658,5,-0.9,0.9,0.482,"truncated"
-0.0675561391485302,2.94762570344727,0.0957487791718297,0.135436104360769,0.0310505624866846,0.0439660000000001,0.0336224594735425,10,-0.9,0.9,0.97,"censored"
-0.276404347246039,2.94762570344727,0.105898444484,0.157680659279794,0.0236686027163547,0.0439660000000001,0.0336224594735425,10,-0.9,0.9,0.606,"truncated"
-0.200479199650029,2.9299929005337,0.108886517522356,0.160407959343404,0.333171841112845,0.333012,0.359193777506977,3,-0.7,0.5,0.81,"censored"
-0.476981905916232,2.9299929005337,0.320141019439431,0.461973263270618,0.294349697022033,0.333012,0.359193777506977,3,-0.7,0.5,0.772,"truncated"
-0.134592982889709,2.9299929005337,0.0985677604769648,0.146865937909002,0.167185243397735,0.175414,0.181501969062847,5,-0.7,0.5,0.912,"censored"
-0.403702733278135,2.9299929005337,0.186163463353796,0.265410043486677,0.138181569193365,0.175414,0.181501969062847,5,-0.7,0.5,0.652,"truncated"
-0.0557911902555253,2.9299929005337,0.0959098459730052,0.13924547894743,0.0308312364473763,0.0426500000000001,0.0329429647736906,10,-0.7,0.5,0.978,"censored"
-0.23105623486903,2.9299929005337,0.110993127311717,0.167489884319521,0.024596210346594,0.0426500000000001,0.0329429647736906,10,-0.7,0.5,0.76,"truncated"
-0.689098308962732,3.46599587097949,0.110515701234555,0.18284157319504,0.339479289643604,0.34149,0.420819154797382,3,-0.7,0.9,0.014,"censored"
-1.47255698522835,3.46599587097949,0.231247800470105,0.331649361508879,0.222031274278861,0.34149,0.420819154797382,3,-0.7,0.9,0.048,"truncated"
-0.506776615543492,3.46599587097949,0.104279760419952,0.175476068509446,0.184586912525686,0.205012,0.236315658636886,5,-0.7,0.9,0.088,"censored"
-1.23728898004048,3.46599587097949,0.163845839760518,0.23375829033742,0.106091497139808,0.205012,0.236315658636886,5,-0.7,0.9,0.008,"truncated"
-0.269413434897865,3.46599587097949,0.109797944743113,0.17458717352361,0.043790383830634,0.0748559999999999,0.0558450905169852,10,-0.7,0.9,0.72,"censored"
-0.832300123955687,3.46599587097949,0.115382725913076,0.182268066125379,0.0224392011564852,0.0748559999999999,0.0558450905169852,10,-0.7,0.9,0,"truncated"
-0.301588889229746,3.08021684891803,0.113310709588844,0.179070325667634,0.339707763389773,0.33519,0.377585818605566,3,-0.5,0.5,0.646,"censored"
-0.730928861147511,3.08021684891803,0.320199448145249,0.467680692808045,0.278877503285278,0.33519,0.377585818605566,3,-0.5,0.5,0.568,"truncated"
