"Mean.bias","true.mean","Mean.rmse","Mean.ase","Rate","m.rate","true.rate","Time","rho","beta1","CP","Scenario"
0.00515699844128381,2.78709546056585,0.115446475326252,0.203629964096521,0.341502111317431,0.332022,0.340823886762424,3,-0.9,0.5,0.998,"censored"
0.0389031472483659,2.78709546056585,0.513550858532268,0.794447152008314,0.345911731330516,0.332022,0.340823886762424,3,-0.9,0.5,0.994,"truncated"
0.000773137077545005,2.78709546056585,0.103428556249672,0.18004611709079,0.166379356730151,0.16416,0.166296601819526,5,-0.9,0.5,1,"censored"
0.0183975663681655,2.78709546056585,0.239625888490764,0.400818143894097,0.168264532645749,0.16416,0.166296601819526,5,-0.9,0.5,0.998,"truncated"
-0.00249624091389311,2.78709546056585,0.0934978610412114,0.16511828838835,0.02756575415537,0.031012,0.0276545597767221,10,-0.9,0.5,0.998,"censored"
0.00751025230015179,2.78709546056585,0.124967014188738,0.220201031316572,0.027922503987752,0.031012,0.0276545597767221,10,-0.9,0.5,0.998,"truncated"
0.00167544589737201,2.94762570344727,0.136724559533274,0.252649565484295,0.361609592319207,0.333206,0.361400578689536,3,-0.9,0.9,1,"censored"
0.0580631987697369,2.94762570344727,0.63012503650237,0.98971561661331,0.368576390206659,0.333206,0.361400578689536,3,-0.9,0.9,0.988,"truncated"
0.00333030096303011,2.94762570344727,0.117897243309939,0.222977126266543,0.183715638048302,0.17665,0.183364280800658,5,-0.9,0.9,1,"censored"
0.0109325763300525,2.94762570344727,0.316550482804326,0.515919675668662,0.184517247125475,0.17665,0.183364280800658,5,-0.9,0.9,0.996,"truncated"
-0.00104240199059502,2.94762570344727,0.104754828623196,0.200907133158996,0.033582130881124,0.0439660000000001,0.0336224594735425,10,-0.9,0.9,0.998,"censored"
0.00772152043909058,2.94762570344727,0.155715119285866,0.290669865982028,0.0339218083525566,0.0439660000000001,0.0336224594735425,10,-0.9,0.9,1,"truncated"
0.00140469322667469,2.9299929005337,0.134220079670825,0.246935494318439,0.359370054972465,0.333012,0.359193777506977,3,-0.7,0.5,1,"censored"
0.0632158364528799,2.9299929005337,0.631897794691485,0.978129630438158,0.36704570916533,0.333012,0.359193777506977,3,-0.7,0.5,0.986,"truncated"
0.00315932116484641,2.9299929005337,0.116438022866561,0.218095869804955,0.181835889611648,0.175414,0.181501969062847,5,-0.7,0.5,1,"censored"
0.0123445266699318,2.9299929005337,0.309380160996853,0.503858653635958,0.182806103449616,0.175414,0.181501969062847,5,-0.7,0.5,0.994,"truncated"
-0.00123485574231408,2.9299929005337,0.103247802547914,0.196783081040861,0.0328955933536511,0.0426500000000001,0.0329429647736906,10,-0.7,0.5,0.998,"censored"
0.00731280452786498,2.9299929005337,0.153318988859257,0.282657287060209,0.0332240754549368,0.0426500000000001,0.0329429647736906,10,-0.7,0.5,0.998,"truncated"
0.000602808531443344,3.46599587097949,0.203530888198592,0.437400679921792,0.420882497591977,0.34149,0.420819154797382,3,-0.7,0.9,1,"censored"
0.0782223713051149,3.46599587097949,0.87874603316657,1.59789267359378,0.428935378752769,0.34149,0.420819154797382,3,-0.7,0.9,0.986,"truncated"
0.00681455326862235,3.46599587097949,0.1721648645729,0.384712266302525,0.236985551895237,0.205012,0.236315658636886,5,-0.7,0.9,1,"censored"
0.0146947721678177,3.46599587097949,0.493844494114877,0.9234020532942,0.237759285847509,0.205012,0.236315658636886,5,-0.7,0.9,0.998,"truncated"
0.00183034439182705,3.46599587097949,0.147766189833429,0.337895860295883,0.0559301971017304,0.0748559999999999,0.0558450905169852,10,-0.7,0.9,1,"censored"
0.00760271773916399,3.46599587097949,0.260701946539154,0.547240950133356,0.0561988582052132,0.0748559999999999,0.0558450905169852,10,-0.7,0.9,1,"truncated"
0.00177475663733295,3.08021684891803,0.154101474114996,0.296389467642709,0.377797647299103,0.33519,0.377585818605566,3,-0.5,0.5,1,"censored"
0.0681588693078008,3.08021684891803,0.743729777502507,1.15514749773222,0.385631782470336,0.33519,0.377585818605566,3,-0.5,0.5,0.986,"truncated"
0.00508840436826041,3.08021684891803,0.129668805012143,0.261104671579583,0.197782924628959,0.185414,0.197254138834525,5,-0.5,0.5,1,"censored"
0.0100816509826247,3.08021684891803,0.370630931760699,0.614749765551107,0.198301500101733,0.185414,0.197254138834525,5,-0.5,0.5,0.992,"truncated"
-0.000233716067204792,3.08021684891803,0.114580933847589,0.232897596246333,0.0388996110470405,0.053188,0.0389091952873501,10,-0.5,0.5,1,"censored"
0.00798316420607614,3.08021684891803,0.187405003604306,0.352043437733991,0.0392371125415845,0.053188,0.0389091952873501,10,-0.5,0.5,1,"truncated"
0.00520135940027266,4.07552674126753,0.281922208915604,0.706026070532365,0.479427342689135,0.350422,0.478977732867339,3,-0.5,0.9,1,"censored"
0.0936127325716694,4.07552674126753,1.13565291511434,2.41515109061905,0.48696016675185,0.350422,0.478977732867339,3,-0.5,0.9,0.988,"truncated"
0.00435795635580938,4.07552674126753,0.236524900395637,0.617456405262894,0.293603567954007,0.225898,0.293219066449816,5,-0.5,0.9,1,"censored"
0.0284487910307547,4.07552674126753,0.669108148443255,1.48376698776966,0.295723361753087,0.225898,0.293219066449816,5,-0.5,0.9,0.998,"truncated"
0.00515484028782076,4.07552674126753,0.201385177711132,0.538514790260529,0.0862443257427441,0.099248,0.0859774209297017,10,-0.5,0.9,1,"censored"
0.0118744752880726,4.07552674126753,0.37218465764261,0.912372823605008,0.0865924797140667,0.099248,0.0859774209297017,10,-0.5,0.9,1,"truncated"
